date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:27:29	1699/1699	U-----	200	untouched ('')	image/jpeg	etag:%226a3-53dd03b3acacf%22	http://www.closethedoor.org.uk/files/cache/26f536d52fa8a38a8989dbbeb367178e.jpg	www.closethedoor.org.uk/files/cache/26f536d52fa8a38a8989dbbeb367178e.jpg	(from http://www.closethedoor.org.uk/)
14:27:29	10144/10144	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2028%20Jul%202023%2021:29:33%20GMT	http://www.closethedoor.org.uk/support/participating-retailers/archive/born/	www.closethedoor.org.uk/support/participating-retailers/archive/born/index.html	(from http://www.closethedoor.org.uk/)
14:27:31	3036/3036	U-----	200	untouched ('')	image/jpeg	etag:%22bdc-53dd03b3acacf%22	http://www.closethedoor.org.uk/files/cache/124db1fcf27145a479b3d5922bf56485.jpg	www.closethedoor.org.uk/files/cache/124db1fcf27145a479b3d5922bf56485.jpg	(from http://www.closethedoor.org.uk/)
14:27:31	10263/10263	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2028%20Jul%202023%2021:29:35%20GMT	http://www.closethedoor.org.uk/support/participating-retailers/archive/john-lewis-waitrose/	www.closethedoor.org.uk/support/participating-retailers/archive/john-lewis-waitrose/index.html	(from http://www.closethedoor.org.uk/)
14:27:32	4002/4002	U-----	200	untouched ('')	image/jpeg	etag:%22fa2-53dd03b3ada6f%22	http://www.closethedoor.org.uk/files/cache/94f94134d152a1cd1e811e97aa20db44.jpg	www.closethedoor.org.uk/files/cache/94f94134d152a1cd1e811e97aa20db44.jpg	(from http://www.closethedoor.org.uk/)
14:27:32	10265/10265	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2028%20Jul%202023%2021:29:36%20GMT	http://www.closethedoor.org.uk/support/participating-retailers/archive/tesco/	www.closethedoor.org.uk/support/participating-retailers/archive/tesco/index.html	(from http://www.closethedoor.org.uk/)
14:27:34	2998/2998	U-----	200	untouched ('')	image/jpeg	etag:%22bb6-53dd03b3ada6f%22	http://www.closethedoor.org.uk/files/cache/6bbed2c942d6c7380547cf4702e34b98.jpg	www.closethedoor.org.uk/files/cache/6bbed2c942d6c7380547cf4702e34b98.jpg	(from http://www.closethedoor.org.uk/)
14:27:35	9801/9801	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2028%20Jul%202023%2021:29:38%20GMT	http://www.closethedoor.org.uk/support/participating-retailers/archive/wickes-travis-perkins/	www.closethedoor.org.uk/support/participating-retailers/archive/wickes-travis-perkins/index.html	(from http://www.closethedoor.org.uk/)
14:27:35	9660/9660	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2028%20Jul%202023%2021:29:39%20GMT	http://www.closethedoor.org.uk/support/participating-retailers/archive/aspace/	www.closethedoor.org.uk/support/participating-retailers/archive/aspace/index.html	(from http://www.closethedoor.org.uk/)
14:27:37	4959/4959	U-----	200	untouched ('')	image/jpeg	etag:%22135f-53dd03b3aea0f%22	http://www.closethedoor.org.uk/files/cache/3fedd63bef7fb86d9c96d21334d61c0a.jpg	www.closethedoor.org.uk/files/cache/3fedd63bef7fb86d9c96d21334d61c0a.jpg	(from http://www.closethedoor.org.uk/)
14:27:37	9793/9793	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2028%20Jul%202023%2021:29:40%20GMT	http://www.closethedoor.org.uk/support/participating-retailers/archive/selfridges/	www.closethedoor.org.uk/support/participating-retailers/archive/selfridges/index.html	(from http://www.closethedoor.org.uk/)
14:27:38	5714/5714	U-----	200	untouched ('')	image/jpeg	etag:%221652-53dd03b3af9af%22	http://www.closethedoor.org.uk/files/cache/890cf2d6c6fae4d59e40246fd6017c9e.jpg	www.closethedoor.org.uk/files/cache/890cf2d6c6fae4d59e40246fd6017c9e.jpg	(from http://www.closethedoor.org.uk/)
14:27:39	9949/9949	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2028%20Jul%202023%2021:29:42%20GMT	http://www.closethedoor.org.uk/support/participating-retailers/archive/pramo/	www.closethedoor.org.uk/support/participating-retailers/archive/pramo/index.html	(from http://www.closethedoor.org.uk/)
14:27:40	4657/4657	U-----	200	untouched ('')	image/jpeg	etag:%221231-53dd03b3b094f%22	http://www.closethedoor.org.uk/files/cache/f56b3ed78fb772b4e930719b002a84cd.jpg	www.closethedoor.org.uk/files/cache/f56b3ed78fb772b4e930719b002a84cd.jpg	(from http://www.closethedoor.org.uk/)
14:27:40	1917/1917	U-----	200	untouched ('')	image/jpeg	etag:%2277d-53dd03b3b094f%22	http://www.closethedoor.org.uk/files/cache/067ae7c7af4a5bbfb7efb0db3ea76e3c.jpg	www.closethedoor.org.uk/files/cache/067ae7c7af4a5bbfb7efb0db3ea76e3c.jpg	(from http://www.closethedoor.org.uk/)
14:27:42	3083/3083	U-----	200	untouched ('')	image/jpeg	etag:%22c0b-53dd03b3b18ef%22	http://www.closethedoor.org.uk/files/cache/951f88a1971f8af748ea754222e63ca6.jpg	www.closethedoor.org.uk/files/cache/951f88a1971f8af748ea754222e63ca6.jpg	(from http://www.closethedoor.org.uk/)
14:27:43	1678/1678	U-----	200	untouched ('')	image/jpeg	etag:%2268e-53dd03b3b18ef%22	http://www.closethedoor.org.uk/files/cache/6036f65395cd89eb6e81fba1bddce4bc.jpg	www.closethedoor.org.uk/files/cache/6036f65395cd89eb6e81fba1bddce4bc.jpg	(from http://www.closethedoor.org.uk/)
